"city","rows","start","end","good","good_rate","raw_posts_min","raw_posts_max","residual_min","residual_max"
"Boston","179","2015-11-01","2016-05-31","27","0.151","0","901","-1","13.575"
"Chicago","179","2015-11-01","2016-05-31","27","0.151","3","205","-0.988","4.06"
"Los_Angeles","180","2015-11-01","2016-05-31","27","0.15","0","1052","-1.358","1.394"
"Miami","179","2015-11-01","2016-05-31","27","0.151","15","300","-1.097","1.247"
"NYC","179","2015-11-01","2016-05-31","27","0.151","1","3702","-1.085","9.427"
"Philadelphia","179","2015-11-01","2016-05-31","27","0.151","1","357","-1.138","10.063"
"San_Diego","179","2015-11-01","2016-05-31","27","0.151","16","463","-0.912","1.518"
"San_Francisco","179","2015-11-01","2016-05-31","27","0.151","12","792","-1.002","3.848"
"Seattle","179","2015-11-01","2016-05-31","27","0.151","4","290","-1.061","2.962"
"Washington_DC","179","2015-11-01","2016-05-31","27","0.151","0","264","-1.2","4.749"
