"year","cloud_type","count"
"2022","层积云","2"
"2022","高层云,高积云","1"
"2022","高积云","15"
"2022","卷层云","10"
"2022","卷层云,高积云","4"
"2022","卷层云,浓积云,高积云","1"
"2022","卷云","17"
"2022","卷云,高积云","10"
"2022","卷云,卷层云","2"
"2022","云砧","2"
"2022","云砧,积雨云","1"
"2023","层积云","2"
"2023","高层云","4"
"2023","高层云,高积云","3"
"2023","高积云","38"
"2023","积雨云","2"
"2023","卷层云","10"
"2023","卷层云,层积云,高积云","1"
"2023","卷层云,高积云","4"
"2023","卷层云,卷积云","1"
"2023","卷层云,浓积云,高积云","1"
"2023","卷云","26"
"2023","卷云,高积云","19"
"2023","卷云,积雨云,高积云","1"
"2023","卷云,卷层云","4"
"2023","卷云,卷层云,高积云","1"
"2023","卷云,浓积云","1"
"2023","浓积云,高积云","1"
"2023","浓积云,积雨云","1"
"2023","云砧","4"
"2024","层积云","2"
"2024","层积云,高层云","1"
"2024","层积云,高积云","1"
"2024","高层云","4"
"2024","高层云,高积云","6"
"2024","高积云","21"
"2024","卷层云","7"
"2024","卷层云,层积云","2"
"2024","卷层云,高层云","1"
"2024","卷层云,高层云,高积云","1"
"2024","卷层云,高积云","5"
"2024","卷层云,积雨云","1"
"2024","卷层云,积雨云,高积云","1"
"2024","卷层云,浓积云,高积云","1"
"2024","卷云","30"
"2024","卷云,层积云","2"
"2024","卷云,层积云,高层云,高积云","1"
"2024","卷云,高层云,高积云","1"
"2024","卷云,高积云","16"
"2024","卷云,卷层云","10"
"2024","卷云,卷层云,高积云","5"
"2024","卷云,浓积云","3"
"2024","卷云,浓积云,高积云","2"
"2024","浓积云,积雨云","1"
"2024","云砧","4"
"2024","云砧,积雨云,高层云,高积云","1"
"2024","云砧,卷层云,浓积云","1"
"2024","云砧,卷云,积雨云","1"
"2024","云砧,浓积云","1"
"2025","高层云","2"
"2025","高层云,高积云","1"
"2025","高积云","8"
"2025","卷层云","5"
"2025","卷层云,高层云","1"
"2025","卷云","16"
"2025","卷云,高层云,高积云","1"
"2025","卷云,高积云","4"
"2025","卷云,卷层云","9"
"2025","云砧","1"
"2025","云砧,积雨云,高积云","1"
"2025","云砧,卷云,高层云,高积云","1"
