"date","event","observed_cloud","color","actual_quality","predicted_quality","consistency","sky_condition","case_url","map_url","cross_section_url"
"2022-06-24","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202206240000_rise.jpg","/static/media/ERA5/上海市_20220624_rise.jpg"
"2022-06-24","日落","高积云,高层云","橘黄色,橘色,橘红色","大烧","大烧","一致","幡状高积云,幡状高层云","https://weibo.com/1758238587/LzeL6bv5P","/static/media/ERA5/202206240000_set.jpg","/static/media/ERA5/上海市_20220624_set.jpg"
"2022-06-25","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202206250000_rise.jpg","/static/media/ERA5/上海市_20220625_rise.jpg"
"2022-06-25","日落","-","-","基本不烧","小到中烧","不一致","-","-","/static/media/ERA5/202206250000_set.jpg","/static/media/ERA5/上海市_20220625_set.jpg"
"2022-06-26","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202206260000_rise.jpg","/static/media/ERA5/上海市_20220626_rise.jpg"
"2022-06-26","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202206260000_set.jpg","/static/media/ERA5/上海市_20220626_set.jpg"
"2022-06-27","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202206270000_rise.jpg","/static/media/ERA5/上海市_20220627_rise.jpg"
"2022-06-27","日落","-","-","基本不烧","小到中烧","不一致","-","-","/static/media/ERA5/202206270000_set.jpg","/static/media/ERA5/上海市_20220627_set.jpg"
"2022-06-28","日出","卷云","橘红色","中到大烧","中到大烧","一致","-","https://weibo.com/5854101351/LzKqz9BF7","/static/media/ERA5/202206280000_rise.jpg","/static/media/ERA5/上海市_20220628_rise.jpg"
"2022-06-28","日落","卷云","橘色","小到中烧","大烧","不一致","-","https://weibo.com/6129860996/LzQ58ovMo","/static/media/ERA5/202206280000_set.jpg","/static/media/ERA5/上海市_20220628_set.jpg"
"2022-06-29","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202206290000_rise.jpg","/static/media/ERA5/上海市_20220629_rise.jpg"
"2022-06-29","日落","云砧","橘黄色","小烧","中到大烧","不一致","-","-","/static/media/ERA5/202206290000_set.jpg","/static/media/ERA5/上海市_20220629_set.jpg"
"2022-06-30","日出","卷层云,高积云","橘黄色,橘色,橘红色","大烧","大烧","一致","-","https://video.weibo.com/show?fid=1034:4786020177346673
https://video.weibo.com/show?fid=1034:4786009968410713
https://weibo.com/6458753697/LA97dofol
https://weibo.com/1969543457/LAfzsfjvd","/static/media/ERA5/202206300000_rise.jpg","/static/media/ERA5/上海市_20220630_rise.jpg"
"2022-06-30","日落","-","-","基本不烧","中到大烧","不一致","-","-","/static/media/ERA5/202206300000_set.jpg","/static/media/ERA5/上海市_20220630_set.jpg"
"2022-07-01","日出","卷云,高积云","橘红色,橘色,橘黄色","大烧","大烧","一致","密卷云,乳状卷云,幡状高积云","https://weibo.com/5854101351/LAdlCiCMg
https://weibo.com/2929915142/LAdjbl2gu
https://video.weibo.com/show?fid=1034:4786376546386014","/static/media/ERA5/202207010000_rise.jpg","/static/media/ERA5/上海市_20220701_rise.jpg"
"2022-07-01","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207010000_set.jpg","/static/media/ERA5/上海市_20220701_set.jpg"
"2022-07-02","日出","-","-","基本不烧","微烧","一般","-","-","/static/media/ERA5/202207020000_rise.jpg","/static/media/ERA5/上海市_20220702_rise.jpg"
"2022-07-02","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207020000_set.jpg","/static/media/ERA5/上海市_20220702_set.jpg"
"2022-07-03","日出","卷云,卷层云","橘红色,橘色,橘黄色","大烧","大烧","一致","密卷云","https://weibo.com/2929915142/LAx3p9tME
https://weibo.com/3925025805/LAvDJ3U2a","/static/media/ERA5/202207030000_rise.jpg","/static/media/ERA5/上海市_20220703_rise.jpg"
"2022-07-03","日落","-","-","基本不烧","中到大烧","不一致","-","-","/static/media/ERA5/202207030000_set.jpg","/static/media/ERA5/上海市_20220703_set.jpg"
"2022-07-04","日出","卷云","橘红色,橘色,橘黄色","大烧","小烧","不一致","密卷云","https://video.weibo.com/show?fid=1034:4787435297767497
https://video.weibo.com/show?fid=1034:4787407409840135
https://video.weibo.com/show?fid=1034:4787611110408284
https://weibo.com/7084142667/LAFMSmE7V
https://weibo.com/2530054742/LAII9p2f6","/static/media/ERA5/202207040000_rise.jpg","/static/media/ERA5/上海市_20220704_rise.jpg"
"2022-07-04","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207040000_set.jpg","/static/media/ERA5/上海市_20220704_set.jpg"
"2022-07-05","日出","-","-","基本不烧","小到中烧","不一致","-","-","/static/media/ERA5/202207050000_rise.jpg","/static/media/ERA5/上海市_20220705_rise.jpg"
"2022-07-05","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207050000_set.jpg","/static/media/ERA5/上海市_20220705_set.jpg"
"2022-07-06","日出","卷层云","橘红色,橘色","大烧","中到大烧","一般","-","https://video.weibo.com/show?fid=1034:4788119598465037","/static/media/ERA5/202207060000_rise.jpg","/static/media/ERA5/上海市_20220706_rise.jpg"
"2022-07-06","日落","卷层云","橘色","中到大烧","基本不烧","不一致","-","https://video.weibo.com/show?fid=1034:4788314419691606","/static/media/ERA5/202207060000_set.jpg","/static/media/ERA5/上海市_20220706_set.jpg"
"2022-07-07","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207070000_rise.jpg","/static/media/ERA5/上海市_20220707_rise.jpg"
"2022-07-07","日落","-","-","基本不烧","小到中烧","不一致","-","-","/static/media/ERA5/202207070000_set.jpg","/static/media/ERA5/上海市_20220707_set.jpg"
"2022-07-08","日出","-","-","基本不烧","小烧","不一致","-","-","/static/media/ERA5/202207080000_rise.jpg","/static/media/ERA5/上海市_20220708_rise.jpg"
"2022-07-08","日落","卷层云,高积云,浓积云","橘黄色,橘色,橘红色","大烧","中到大烧","一般","-","https://weibo.com/1760816882/LBmm54KPf
https://weibo.com/1842458205/LBmzMEbhu
https://weibo.com/6300825714/LBmKvwMp1
https://weibo.com/1763313631/LBmm125Ok","/static/media/ERA5/202207080000_set.jpg","/static/media/ERA5/上海市_20220708_set.jpg"
"2022-07-09","日出","高积云","橘黄色","小烧","中到大烧","不一致","-","-","/static/media/ERA5/202207090000_rise.jpg","/static/media/ERA5/上海市_20220709_rise.jpg"
"2022-07-09","日落","-","-","基本不烧","微烧","一般","-","-","/static/media/ERA5/202207090000_set.jpg","/static/media/ERA5/上海市_20220709_set.jpg"
"2022-07-10","日出","-","-","基本不烧","中到大烧","不一致","-","-","/static/media/ERA5/202207100000_rise.jpg","/static/media/ERA5/上海市_20220710_rise.jpg"
"2022-07-10","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207100000_set.jpg","/static/media/ERA5/上海市_20220710_set.jpg"
"2022-07-11","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207110000_rise.jpg","/static/media/ERA5/上海市_20220711_rise.jpg"
"2022-07-11","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207110000_set.jpg","/static/media/ERA5/上海市_20220711_set.jpg"
"2022-07-12","日出","-","-","基本不烧","中到大烧","不一致","-","-","/static/media/ERA5/202207120000_rise.jpg","/static/media/ERA5/上海市_20220712_rise.jpg"
"2022-07-12","日落","卷层云","红色,橘红色","中到大烧","大烧","一般","-","https://weibo.com/3925025805/LBY5swaKm","/static/media/ERA5/202207120000_set.jpg","/static/media/ERA5/上海市_20220712_set.jpg"
"2022-07-13","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207130000_rise.jpg","/static/media/ERA5/上海市_20220713_rise.jpg"
"2022-07-13","日落","卷层云","红色,橘红色","中到大烧","微烧","不一致","-","https://video.weibo.com/show?fid=1034:4790487513759840
https://weibo.com/1235871830/LC7WQepSK
https://weibo.com/5854101351/LC7AyclYN","/static/media/ERA5/202207130000_set.jpg","/static/media/ERA5/上海市_20220713_set.jpg"
"2022-07-14","日出","-","-","基本不烧","中到大烧","不一致","-","-","/static/media/ERA5/202207140000_rise.jpg","/static/media/ERA5/上海市_20220714_rise.jpg"
"2022-07-14","日落","卷云","橘色","小烧","微烧","一般","-","-","/static/media/ERA5/202207140000_set.jpg","/static/media/ERA5/上海市_20220714_set.jpg"
"2022-07-15","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207150000_rise.jpg","/static/media/ERA5/上海市_20220715_rise.jpg"
"2022-07-15","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207150000_set.jpg","/static/media/ERA5/上海市_20220715_set.jpg"
"2022-07-16","日出","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207160000_rise.jpg","/static/media/ERA5/上海市_20220716_rise.jpg"
"2022-07-16","日落","-","-","基本不烧","基本不烧","一致","-","-","/static/media/ERA5/202207160000_set.jpg","/static/media/ERA5/上海市_20220716_set.jpg"
