"date","event","observed_cloud","color","quality","sky_condition","case_url"
"2022-06-24","日落","高积云,高层云","橘黄色,橘色,橘红色","大烧","幡状高积云,幡状高层云","https://weibo.com/1758238587/LzeL6bv5P"
"2022-06-28","日出","卷云","橘红色","中到大烧","-","https://weibo.com/5854101351/LzKqz9BF7"
"2022-06-28","日落","卷云","橘色","小到中烧","-","https://weibo.com/6129860996/LzQ58ovMo"
"2022-06-29","日落","云砧","橘黄色","小烧","-","-"
"2022-06-30","日出","卷层云,高积云","橘黄色,橘色,橘红色","大烧","-","https://video.weibo.com/show?fid=1034:4786020177346673
https://video.weibo.com/show?fid=1034:4786009968410713
https://weibo.com/6458753697/LA97dofol
https://weibo.com/1969543457/LAfzsfjvd"
"2022-07-01","日出","卷云,高积云","橘红色,橘色,橘黄色","大烧","密卷云,乳状卷云,幡状高积云","https://weibo.com/5854101351/LAdlCiCMg
https://weibo.com/2929915142/LAdjbl2gu
https://video.weibo.com/show?fid=1034:4786376546386014"
"2022-07-03","日出","卷云,卷层云","橘红色,橘色,橘黄色","大烧","密卷云","https://weibo.com/2929915142/LAx3p9tME
https://weibo.com/3925025805/LAvDJ3U2a"
"2022-07-04","日出","卷云","橘红色,橘色,橘黄色","大烧","密卷云","https://video.weibo.com/show?fid=1034:4787435297767497
https://video.weibo.com/show?fid=1034:4787407409840135
https://video.weibo.com/show?fid=1034:4787611110408284
https://weibo.com/7084142667/LAFMSmE7V
https://weibo.com/2530054742/LAII9p2f6"
"2022-07-06","日出","卷层云","橘红色,橘色","大烧","-","https://video.weibo.com/show?fid=1034:4788119598465037"
"2022-07-06","日落","卷层云","橘色","中到大烧","-","https://video.weibo.com/show?fid=1034:4788314419691606"
"2022-07-08","日落","卷层云,高积云,浓积云","橘黄色,橘色,橘红色","大烧","-","https://weibo.com/1760816882/LBmm54KPf
https://weibo.com/1842458205/LBmzMEbhu
https://weibo.com/6300825714/LBmKvwMp1
https://weibo.com/1763313631/LBmm125Ok"
"2022-07-09","日出","高积云","橘黄色","小烧","-","-"
"2022-07-12","日落","卷层云","红色,橘红色","中到大烧","-","https://weibo.com/3925025805/LBY5swaKm"
"2022-07-13","日落","卷层云","红色,橘红色","中到大烧","-","https://video.weibo.com/show?fid=1034:4790487513759840
https://weibo.com/1235871830/LC7WQepSK
https://weibo.com/5854101351/LC7AyclYN"
"2022-07-14","日落","卷云","橘色","小烧","-","-"
"2022-07-20","日落","卷层云","红色","小到中烧","-","https://wx4.sinaimg.cn/mw2000/d809b2edly1h4dn3575vuj20u0140q8v.jpg"
"2022-07-21","日落","卷层云","橘黄色,橘色","小烧","乳状卷层云","-"
"2022-07-23","日出","卷层云","红色,橘红色,橘色","大烧","-","https://weibo.com/2370199830/LDyeQdzLl
https://weibo.com/1770475104/LDyMKkfgg"
"2022-07-26","日落","卷云,高积云","橘黄色,橘色","小到中烧","密卷云","https://weibo.com/1760816882/LE5ZtlDrH"
"2022-07-30","日落","卷云,高积云","橘色,橘红色","小到中烧","-","https://weibo.com/7612166895/LEHXQCpN4"
"2022-08-07","日落","卷云","橘黄色,橘色","中到大烧","-","https://weibo.com/6129860996/LFVrbu6TZ"
"2022-08-09","日落","卷层云","橘色,橘红色,红色","大烧","-","https://video.weibo.com/show?fid=1034:4800650882777277
https://video.weibo.com/show?fid=1034:4800641344929869
https://weibo.com/1212156690/M0he9hjWi
https://weibo.com/6508783082/M0gYCj0xc
https://weibo.com/5854101351/M0gCz3vgY"
"2022-08-10","日出","卷云","橘红色,橘黄色","小到中烧","-","https://weibo.com/1729484474/M0leolEfi
https://weibo.com/5854101351/M0lizdSCi
https://weibo.com/1770475104/M0m6np34S"
"2022-08-10","日落","卷层云,高积云","橘黄色,橘色,橘红色","中到大烧","乳状云,彩虹,降水线云砧","https://weibo.com/6061337735/M0pUkjuKC
https://weibo.com/1212156690/M0qxShZ4h
https://weibo.com/6124268245/M0qQG3fk7
https://weibo.com/6129860996/M0pZaumOw"
"2022-08-11","日落","卷云,高积云","红色,橘红色,橘色","中到大烧","-","https://weibo.com/1212156690/M0zSYjaTq
https://weibo.com/6129860996/M0AAlk1VJ
https://weibo.com/1130033300/M0z9F3BBg"
"2022-08-12","日落","卷层云,高积云","橘黄色,橘色,橘红色,红色","大烧","彩虹,降水线云砧","https://video.weibo.com/show?fid=1034:4801724591046671
https://video.weibo.com/show?fid=1034:4801735546568794
https://weibo.com/1276291023/M0IT5ipxt
https://weibo.com/1415104792/M0JYEcaOQ
https://weibo.com/6129860996/M0JbTkbJr
https://weibo.com/1766975197/M0IQXzlma"
"2022-08-13","日落","卷云","红色,橘红色,橘色","大烧","密卷云","https://weibo.com/1678551475/M0TESeYki
https://weibo.com/6129860996/M0StnrVwU
https://weibo.com/1842458205/M0Tl6tuW8
https://weibo.com/1760816882/M0SfawRrh
https://video.weibo.com/show?fid=1034:4802097355620483"
"2022-08-14","日出","卷云","橘红色,橘色","中到大烧","密卷云","https://weibo.com/2006317425/M17j9zjqV"
"2022-08-14","日落","卷云,卷层云","橘色","小烧","密卷云","https://weibo.com/1600543073/M11sBslJv"
"2022-08-15","日出","卷云","橘红色,橘色","中到大烧","-","https://weibo.com/6028838843/M15AKq3qz
https://weibo.com/5538010841/M15RvCtuA"
"2022-08-15","日落","卷层云,高积云","橘黄色,橘色","中到大烧","日柱","https://weibo.com/1839008834/M1bwToeUi
https://weibo.com/1794074520/M1bpmaDp9
https://weibo.com/1770475104/M1bPOdTWQ"
"2022-08-16","日出","卷层云","红色","小到中烧","-","https://weibo.com/1770475104/M1f9Htbhm"
"2022-08-20","日落","云砧","橘色,橘红色","大烧","闪电,彩虹,乳状云,降水线云砧","https://weibo.com/6392679950/M1WlheXhM
https://weibo.com/6129860996/M1WpQAkOJ
https://weibo.com/1842458205/M1WuimtTI
https://weibo.com/1770475104/M1WZe1Ien
https://weibo.com/1668067237/M1WNQ5Qup
https://weibo.com/1737753555/M1Xjxau2I
https://weibo.com/5130206734/M1XqgEWHl
https://weibo.com/1836309624/M1XLB33CP
https://weibo.com/5538010841/M1W9ub3Rr
https://video.weibo.com/show?fid=1034:4804627212992561
https://video.weibo.com/show?fid=1034:4804623748497545
https://video.weibo.com/show?fid=1034:4804621278052460"
"2022-08-23","日出","卷云","橘色,橘黄色","小到中烧","-","https://weibo.com/1770475104/M2jEAnGaj"
"2022-08-23","日落","积雨云,云砧","橘黄色,橘色","中到大烧","闪电,彩虹,乳状云,降水线云砧","https://weibo.com/1212156690/M2oLSrOg3
https://weibo.com/1195592605/M2pC45b3U
https://weibo.com/1839008834/M2oV9xRjJ
https://weibo.com/1770475104/M2oU6wgxW
https://weibo.com/5854101351/M2oOP72Wf
https://weibo.com/1706480412/M2oDkooSm
https://weibo.com/7612166895/M2ouG2ant
https://weibo.com/6129860996/M2osU5EmW
https://weibo.com/2742782667/M2oiOgEd9
https://weibo.com/5538010841/M2or4jGip
https://video.weibo.com/show?fid=1034:4805742994325513"
"2022-08-28","日出","层积云","橘红色","小烧","-","https://weibo.com/1075503085/M34dC9Ua6"
"2022-08-28","日落","卷云","橘黄色,橘色,橘红色","小到中烧","密卷云","https://video.weibo.com/show?fid=1034:4807541159559287"
"2022-08-29","日落","卷云","橘黄色,橘色","小到中烧","密卷云","https://weibo.com/7748478041/M3iSNqKM6"
"2022-08-30","日出","卷云","橘色","小到中烧","-","-"
"2022-09-01","日出","高积云","橘红色,橘色","中到大烧","-","https://weibo.com/1999860661/M3MgZswjf
https://weibo.com/1786597197/M3MdNfrNA"
"2022-09-05","日落","层积云","橘黄色","微烧","彩虹,降水线层积云","-"
"2022-09-08","日落","高积云","橘红色","小到中烧","-","-"
"2022-09-09","日出","卷云","橘红色,橘色","大烧","密卷云,乳状卷云","https://weibo.com/5662803579/M4TKUDqSB
https://weibo.com/2013573581/M4Tzif2wh
https://weibo.com/7612166895/M4VnJuVMU
https://video.weibo.com/show?fid=1034:4811722205364292"
"2022-09-09","日落","卷云","橘黄色,橘色,橘红色","中到大烧","密卷云","https://weibo.com/1737753555/M50nyd8uv
https://weibo.com/5831425432/M507ayotA
https://weibo.com/5130206734/M4ZY1yKe1
https://weibo.com/5662803579/M4YAnx1uR
https://video.weibo.com/show?fid=1034:4811905286733939
https://video.weibo.com/show?fid=1034:4811889650368564"
"2022-09-10","日出","卷云,高积云","橘红色","小到中烧","-","https://weibo.com/1075503085/M53prEwY2"
"2022-09-10","日落","高积云","橘色,橘红色","小到中烧","-","https://weibo.com/5677499658/M57NZ98KH"
"2022-09-11","日出","高积云","红色","小到中烧","-","https://weibo.com/1919854452/M5fiqbeSt"
"2022-09-11","日落","高积云,卷云","橘红色,橘色","中到大烧","密卷云","https://weibo.com/1883437194/M5hLmdUS9"
"2022-09-20","日落","高积云","橘黄色,橘色","小到中烧","-","-"
"2022-09-21","日出","卷云,高积云","橘红色,橘色","大烧","密卷云","https://video.weibo.com/show?fid=1034:4816030305026057
https://weibo.com/6129860996/M6IJh7zAR
https://weibo.com/1770475104/M6K1ccNAp"
"2022-09-21","日落","高积云","橘黄色,橘色","中到大烧","幡状高积云","https://video.weibo.com/show?fid=1034:4816257808269424
https://weibo.com/6129860996/M6NxL8PrP
https://weibo.com/1760816882/M6Npq7IAz"
"2022-09-23","日出","高积云","橘色","小到中烧","-","https://weibo.com/1211871433/M78vUcSo7"
"2022-09-24","日出","高积云","橘红色,橘色","中到大烧","-","https://weibo.com/5854101351/M7bf9t9Kl
https://weibo.com/5014191901/M7dcqdF7l
https://video.weibo.com/show?fid=1034:4817110778707993"
"2022-09-24","日落","高积云","橘红色","微烧","-","https://weibo.com/1075503085/M7fQmxFr6"
"2022-09-25","日出","高积云,卷云","橘红色,橘色","中到大烧","幡状高积云,乳状密卷云,日柱","https://weibo.com/1999860661/M7lL6q6Iu
https://weibo.com/6124268245/M7m1b3w4s
https://weibo.com/5886391540/M7pBzB7xH
https://weibo.com/1919701103/M7o3B1lMx
https://weibo.com/2816822382/M7odTBUxI
https://weibo.com/5680918828/M7mA7Eyck
https://weibo.com/1864934092/M7kXECSps
https://weibo.com/5662803579/M7keJC7XT
https://weibo.com/2128067333/M7lvCDp5p
https://video.weibo.com/show?fid=1034:4817512509145118
https://video.weibo.com/show?fid=1034:4817474819129405
https://video.weibo.com/show?fid=1034:4817478589808675"
"2022-09-29","日落","高积云,卷云","橘红色","小到中烧","密卷云","https://video.weibo.com/show?fid=1034:4819124833157209"
"2022-10-04","日出","卷云","橘色","小到中烧","-","https://weibo.com/2411313251/M8IEzyxE6"
"2022-10-11","日出","高积云","橘红色,橘色","大烧","幡状高积云","https://weibo.com/6028838843/M9LdnEgRq
https://weibo.com/1770475104/M9LCvuoiU
https://weibo.com/2411313251/M9LEJahUQ
https://weibo.com/1376016462/M9MLl7Qzi"
